[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1708621936.103000 2/22/2024, 6:12:16 PM
INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082
INFO, NAME, Kristine_NCCO_asgrown
INFO, WEIGHT, 0.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, Need to measure mass after
INFO, SEQUENCE FILE: ZFCFC_2_50K_10Oe.seq
INFO, BACKGROUND DATA FILE:, None
STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000
STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1708623365.305,0,1.000000e+001,1.293216e+001,3.904088e-003,1.361422e-005,3,9.156521e-001,3.487169e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.725597e-001,0.000000e+000,0,,0,
1708623427.285,0,1.000000e+001,1.344173e+001,3.789346e-003,1.261041e-005,3,9.156559e-001,3.327858e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.763096e-001,0.000000e+000,0,,0,
1708623487.148,0,1.000000e+001,1.394572e+001,3.689455e-003,1.311479e-005,3,9.156256e-001,3.554669e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.873903e-001,0.000000e+000,0,,0,
1708623547.024,0,1.000000e+001,1.444401e+001,3.592836e-003,1.114063e-005,3,9.156232e-001,3.100789e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.669092e-001,0.000000e+000,0,,0,
1708623608.229,0,1.000000e+001,1.495435e+001,3.498373e-003,1.169850e-005,3,9.156227e-001,3.343983e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.971102e-001,0.000000e+000,0,,0,
1708623667.222,0,1.000000e+001,1.544669e+001,3.411795e-003,1.069078e-005,3,9.156080e-001,3.133477e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.821804e-001,0.000000e+000,0,,0,
1708623728.841,0,1.000000e+001,1.595986e+001,3.326486e-003,1.067737e-005,3,9.156003e-001,3.209805e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.813097e-001,0.000000e+000,0,,0,
1708623787.212,0,1.000000e+001,1.644971e+001,3.248694e-003,9.352166e-006,3,9.155522e-001,2.878746e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.659412e-001,0.000000e+000,0,,0,
1708623847.742,0,1.000000e+001,1.695694e+001,3.173281e-003,9.370132e-006,3,9.155275e-001,2.952821e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.773300e-001,0.000000e+000,0,,0,
1708623907.326,0,1.000000e+001,1.745638e+001,3.102763e-003,8.511473e-006,3,9.155232e-001,2.743191e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.719894e-001,0.000000e+000,0,,0,
1708623969.513,0,1.000000e+001,1.796915e+001,3.033586e-003,8.697972e-006,3,9.154957e-001,2.867225e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.736202e-001,0.000000e+000,0,,0,
1708624028.669,0,1.000000e+001,1.845867e+001,2.970618e-003,7.937403e-006,3,9.155280e-001,2.671970e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.644993e-001,0.000000e+000,0,,0,
1708624089.339,0,1.000000e+001,1.897040e+001,2.909264e-003,7.704918e-006,3,9.155197e-001,2.648408e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.752205e-001,0.000000e+000,0,,0,
1708624148.468,0,1.000000e+001,1.946225e+001,2.852306e-003,7.287865e-006,3,9.154944e-001,2.555078e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.665592e-001,0.000000e+000,0,,0,
1708624209.281,0,1.000000e+001,1.997081e+001,2.795702e-003,6.765100e-006,3,9.154695e-001,2.419822e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.620712e-001,0.000000e+000,0,,0,
1708624268.730,0,1.000000e+001,2.046629e+001,2.743554e-003,6.721008e-006,3,9.154447e-001,2.449745e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.767693e-001,0.000000e+000,0,,0,
